Date,Clean_Solar_Generation,Trend_Seasonal_Component
5/19/2019,115.1519988,40.74008083
5/20/2019,74.08494314,39.2895287
5/21/2019,30.87372168,38.05875139
5/22/2019,98.6222762,37.05297927
5/23/2019,102.8173871,36.27646776
5/24/2019,104.5674426,35.73248255
5/25/2019,79.00766521,35.42328906
5/26/2019,112.5934979,35.35014587
5/27/2019,118.409748,35.51330237
5/28/2019,113.5136091,35.9120005
5/29/2019,120.8956646,36.54448057
5/30/2019,88.12816483,37.40799123
5/31/2019,51.12738784,38.4988034
6/1/2019,102.4519426,39.81222822
6/2/2019,111.7938317,41.34263885
6/3/2019,95.50619304,43.0834961
6/4/2019,116.6066089,45.02737768
6/5/2019,115.5782759,47.16601105
6/6/2019,62.95947075,49.49030966
6/7/2019,90.50738775,51.99041244
6/8/2019,75.39988765,54.65572641
6/9/2019,106.075443,57.47497217
6/10/2019,99.22022086,60.43623209
6/11/2019,100.0504704,63.52700106
6/12/2019,117.8113864,66.73423952
6/13/2019,108.9741649,70.04442858
6/14/2019,76.3766653,73.44362698
6/15/2019,113.3850541,76.91752965
6/16/2019,115.8812205,80.4515277
6/17/2019,118.5979978,84.0307695
6/18/2019,80.97877633,87.64022261
6/19/2019,89.98605427,91.26473638
6/20/2019,71.78710988,94.88910485
6/21/2019,99.74416511,98.49812981
6/22/2019,118.4348874,102.0766837
6/23/2019,71.23022106,105.609772
6/24/2019,83.42883181,109.082595
6/25/2019,74.44744296,112.480609
6/26/2019,116.0991096,115.7895855
6/27/2019,38.10361048,118.9956697
6/28/2019,116.5966652,122.0854374
6/29/2019,116.1519982,125.0459494
6/30/2019,98.97299848,127.8648041
7/1/2019,95.36377633,130.5301882
7/2/2019,104.9544986,133.0309244
7/3/2019,71.97983208,135.3565162
7/4/2019,0,137.4971904
7/5/2019,0,139.4439362
7/6/2019,34.1628328,141.1885412
7/7/2019,103.6439984,142.7236237
7/8/2019,96.43616473,144.042662
7/9/2019,95.54488718,145.14002
7/10/2019,92.43660944,146.0109685
7/11/2019,109.188443,146.6517036
7/12/2019,116.9094978,147.0593608
7/13/2019,101.8616649,147.2320249
7/14/2019,112.6602755,147.1687367
7/15/2019,105.4190538,146.8694947
7/16/2019,85.30816519,146.335254
7/17/2019,95.47494272,145.5679206
7/18/2019,81.15077633,144.5703413
7/19/2019,75.98527636,143.3462909
7/20/2019,55.09877687,141.9004546
7/21/2019,119.4480532,140.238407
7/22/2019,112.0415261,138.3665873
7/23/2019,106.1203868,136.2922715
7/24/2019,105.958054,134.0235401
7/25/2019,120.9932203,131.5692438
7/26/2019,116.8518311,128.9389649
7/27/2019,98.18044254,126.1429763
7/28/2019,95.86155422,123.1921979
7/29/2019,115.3809425,120.0981497
7/30/2019,97.72877682,116.8729031
7/31/2019,112.993165,113.5290293
8/1/2019,114.0566646,110.0795468
8/2/2019,101.1508871,106.5378657
8/3/2019,82.8142209,102.9177317
8/4/2019,111.1466098,99.23316754
8/5/2019,110.8708317,95.49841491
8/6/2019,81.37888757,91.72787396
8/7/2019,109.6185532,87.93604316
8/8/2019,110.4903875,84.13745857
8/9/2019,90.85416521,80.34663298
8/10/2019,24.62361063,76.57799525
8/11/2019,31.89472173,72.84583007
8/12/2019,16.80372193,69.16421837
8/13/2019,82.89244286,65.54697869
8/14/2019,79.98022096,62.00760958
8/15/2019,100.1715539,58.55923355
8/16/2019,27.38805496,55.21454254
8/17/2019,94.91005363,51.98574522
8/18/2019,110.8173867,48.88451647
8/19/2019,112.4269424,45.92194897
8/20/2019,104.2478316,43.10850743
8/21/2019,88.36402636,40.45398535
8/22/2019,33.38527728,37.96746466
8/23/2019,87.73560972,35.6572784
8/24/2019,95.13983144,33.53097649
8/25/2019,71.06160988,31.59529487
