Date,Daily Gas Generation,Trend + Seasonal Component
1/17/2021,141274.5796,149347.982
1/18/2021,148410.9528,149658.9808
1/19/2021,141031.487,149963.2091
1/20/2021,146892.1438,150259.9946
1/21/2021,152514.0862,150548.6686
1/22/2021,151915.7204,150828.5683
1/23/2021,156015.3032,151099.0385
1/24/2021,156827.1286,151359.4328
1/25/2021,158359.9874,151609.1159
1/26/2021,156981.8673,151847.4647
1/27/2021,156174.3141,152073.8705
1/28/2021,158651.5731,152287.74
1/29/2021,155911.4498,152488.4973
1/30/2021,151693.0318,152675.5854
1/31/2021,146515.9929,152848.4672
2/1/2021,147237.9105,153006.6274
2/2/2021,149152.349,153149.5738
2/3/2021,163649.1235,153276.8382
2/4/2021,160232.9406,153387.9782
2/5/2021,163458.01,153482.5779
2/6/2021,162541.3118,153560.2492
2/7/2021,163507.8503,153620.633
2/8/2021,169009.3289,153663.3999
2/9/2021,162875.1289,153688.2509
2/10/2021,157759.1301,153694.9188
2/11/2021,158675.4178,153683.1684
2/12/2021,156748.3496,153652.7974
2/13/2021,161799.3661,153603.6368
2/14/2021,160379.2149,153535.5516
2/15/2021,163133.3125,153448.4409
2/16/2021,159028.3238,153342.2385
2/17/2021,159672.4415,153216.9127
2/18/2021,152788.1248,153072.4671
2/19/2021,142762.6724,152908.9398
2/20/2021,133555.4569,152726.4042
2/21/2021,129711.6524,152524.9683
2/22/2021,139472.6962,152304.7746
2/23/2021,148607.0468,152066.0002
2/24/2021,154579.1208,151808.8557
2/25/2021,145522.184,151533.5856
2/26/2021,157283.8531,151240.4671
2/27/2021,157002.2146,150929.8098
2/28/2021,146123.4184,150601.9548
3/1/2021,145494.2582,150257.2745
3/2/2021,148768.3729,149896.171
3/3/2021,149166.9182,149519.0758
3/4/2021,146874.4221,149126.4488
3/5/2021,143134.5612,148718.7768
3/6/2021,137718.1729,148296.5732
3/7/2021,135568.612,147860.3762
3/8/2021,144652.8487,147410.748
3/9/2021,146445.49,146948.2735
3/10/2021,149453.0503,146473.5592
3/11/2021,152442.0101,145987.2313
3/12/2021,145367.519,145489.9354
3/13/2021,148946.511,144982.334
3/14/2021,141609.1863,144465.1061
3/15/2021,148877.3113,143938.9452
3/16/2021,151980.464,143404.5577
3/17/2021,145932.7784,142862.6623
3/18/2021,139198.1098,142313.9876
3/19/2021,139243.6792,141759.2712
3/20/2021,136345.212,141199.2579
3/21/2021,144611.0065,140634.6986
3/22/2021,146925.8729,140066.3485
3/23/2021,147647.7237,139494.9656
3/24/2021,145320.8836,138921.3095
3/25/2021,148772.326,138346.1399
3/26/2021,149166.8504,137770.2151
3/27/2021,145469.582,137194.2906
3/28/2021,136410.0732,136619.1177
3/29/2021,150563.107,136045.4423
3/30/2021,147646.2779,135474.0034
3/31/2021,138378.167,134905.5319
4/1/2021,130542.0543,134340.7495
4/2/2021,126825.9062,133780.3671
4/3/2021,126002.6638,133225.084
4/4/2021,118138.0091,132675.5867
4/5/2021,128061.9608,132132.5478
4/6/2021,126003.445,131596.6248
4/7/2021,123962.4555,131068.4593
4/8/2021,127777.9088,130548.676
4/9/2021,123280.1309,130037.8821
4/10/2021,124879.6558,129536.6659
4/11/2021,127668.7227,129045.5965
4/12/2021,127443.776,128565.223
4/13/2021,124227.8374,128096.0736
4/14/2021,121425.971,127638.6553
4/15/2021,121461.1037,127193.4531
4/16/2021,120265.8075,126760.9299
4/17/2021,121646.0207,126341.5255
4/18/2021,123574.5974,125935.6567
4/19/2021,127221.4963,125543.7167
4/20/2021,126574.4286,125166.075
4/21/2021,119152.8678,124803.0771
4/22/2021,124112.5144,124455.0443
4/23/2021,128491.3341,124122.2738
4/24/2021,127828.1188,123805.0382
4/25/2021,127317.2191,123503.5863
4/26/2021,126559.6771,123218.1422
4/27/2021,127902.6428,122948.906
4/28/2021,130728.2022,122696.0538
4/29/2021,130265.9328,122459.7379
4/30/2021,114080.03,122240.0869
5/1/2021,116148.779,122037.206
5/2/2021,119876.7507,121851.1777
5/3/2021,122483.45,121682.0614
5/4/2021,117987.3074,121529.8945
5/5/2021,115930.7698,121394.6922
5/6/2021,110528.8663,121276.4486
5/7/2021,108201.3001,121175.1364
5/8/2021,107246.8213,121090.7082
5/9/2021,114530.3094,121023.0964
5/10/2021,118331.0029,120972.2138
5/11/2021,120220.0508,120937.9548
5/12/2021,121723.4463,120920.1949
5/13/2021,121988.2305,120918.7924
5/14/2021,123638.7072,120933.5882
5/15/2021,120246.9804,120964.4067
5/16/2021,122302.1639,121011.0564
5/17/2021,120775.9786,121073.3308
5/18/2021,125121.3081,121151.0085
5/19/2021,138679.155,121243.8542
5/20/2021,136356.3835,121351.6193
5/21/2021,140134.5299,121474.0423
5/22/2021,136387.3221,121610.8499
5/23/2021,134581.3782,121761.757
5/24/2021,131190.7882,121926.4681
5/25/2021,139405.4716,122104.6769
5/26/2021,136806.1537,122296.0679
5/27/2021,122189.9386,122500.3165
5/28/2021,118149.1591,122717.0896
5/29/2021,125079.9568,122946.0461
5/30/2021,124392.5498,123186.8377
5/31/2021,128128.5832,123439.1094
6/1/2021,134342.0448,123702.4997
6/2/2021,133674.3108,123976.6417
6/3/2021,127555.6307,124261.1631
6/4/2021,130341.1648,124555.6867
6/5/2021,112096.558,124859.8312
6/6/2021,115012.9322,125173.2115
6/7/2021,118912.2685,125495.4388
6/8/2021,124829.9832,125826.1218
6/9/2021,124133.3205,126164.8661
6/10/2021,121685.232,126511.2756
6/11/2021,117833.1675,126864.9518
6/12/2021,119998.7353,127225.4952
6/13/2021,120479.3142,127592.5051
6/14/2021,120769.1896,127965.5796
6/15/2021,114960.419,128344.3168
6/16/2021,118576.4234,128728.3143
6/17/2021,125010.6415,129117.1699
6/18/2021,129154.3226,129510.4816
6/19/2021,126944.3817,129907.8481
6/20/2021,130609.5188,130308.8691
6/21/2021,132512.0283,130713.1452
6/22/2021,127643.2523,131120.2785
6/23/2021,127821.3263,131529.8727
6/24/2021,134688.5223,131941.533
6/25/2021,133364.3211,132354.8671
6/26/2021,128483.2592,132769.4845
6/27/2021,134406.5454,133184.9974
6/28/2021,135372.4043,133601.0206
6/29/2021,137134.8529,134017.1716
6/30/2021,132755.9945,134433.0713
7/1/2021,124674.541,134848.3435
7/2/2021,126965.7346,135262.6158
7/3/2021,133744.1662,135675.5192
7/4/2021,129368.018,136086.689
7/5/2021,139461.2382,136495.7642
7/6/2021,144232.0766,136902.3883
7/7/2021,144320.9659,137306.2097
7/8/2021,139483.6503,137706.881
7/9/2021,138167.1035,138104.0604
7/10/2021,131504.3695,138497.4112
7/11/2021,126491.3424,138886.6021
7/12/2021,134293.6845,139271.3078
7/13/2021,135850.8248,139651.2091
7/14/2021,132877.3192,140025.993
7/15/2021,133225.7326,140395.3533
7/16/2021,133238.7649,140758.9905
7/17/2021,127823.6986,141116.6125
7/18/2021,138526.4358,141467.9348
7/19/2021,143640.4298,141812.6806
7/20/2021,142236.4721,142150.5812
7/21/2021,142622.7766,142481.3765
7/22/2021,140589.1143,142804.8151
7/23/2021,140830.9052,143120.655
7/24/2021,144298.0568,143428.6632
7/25/2021,146316.1987,143728.6169
7/26/2021,146744.4493,144020.3034
7/27/2021,150294.122,144303.5204
7/28/2021,152194.6676,144578.0764
7/29/2021,151775.803,144843.7913
7/30/2021,168871.0205,145100.4961
7/31/2021,163938.9393,145348.0342
8/1/2021,155926.6091,145586.2608
8/2/2021,157147.3569,145815.0437
8/3/2021,161592.9572,146034.2637
8/4/2021,162109.8456,146243.8144
8/5/2021,155455.0925,146443.6033
8/6/2021,146006.4326,146633.5512
8/7/2021,144385.0375,146813.5933
8/8/2021,145235.0374,146983.6788
8/9/2021,149008.0427,147143.7715
8/10/2021,146047.3842,147293.85
8/11/2021,153818.5684,147433.9079
8/12/2021,159981.8626,147563.9539
8/13/2021,153430.7076,147684.0121
8/14/2021,145991.642,147794.122
8/15/2021,144082.1869,147894.3389
8/16/2021,146620.1025,147984.7337
8/17/2021,149800.4334,148065.393
8/18/2021,149694.2859,148136.4194
8/19/2021,149692.3857,148197.9314
8/20/2021,151748.7983,148250.0632
8/21/2021,147914.2341,148292.965
8/22/2021,140911.9735,148326.8027
8/23/2021,144825.5959,148351.7578
8/24/2021,150796.5225,148368.0274
8/25/2021,145768.5698,148375.8239
8/26/2021,141344.9734,148375.3749
8/27/2021,142265.3643,148366.923
8/28/2021,140217.4247,148350.7252
8/29/2021,144928.0678,148327.0532
8/30/2021,150132.4291,148296.1926
8/31/2021,143779.4554,148258.4424
9/1/2021,142849.729,148214.1153
9/2/2021,150912.9474,148163.5364
9/3/2021,150142.4536,148107.0435
9/4/2021,140203.584,148044.9858
9/5/2021,130525.2717,147977.7243
