Date,Clean_Coal_Generation,Trend_Coal_Generation
4/26/2022,30226.71449,29136.97055
4/27/2022,30239.10791,29239.28873
4/28/2022,28313.64561,29336.28417
4/29/2022,28529.42918,29427.7929
4/30/2022,29762.94399,29513.67034
5/1/2022,30187.3017,29593.79159
5/2/2022,30307.53192,29668.05163
5/3/2022,30036.33547,29736.36541
5/4/2022,30219.08483,29798.66801
5/5/2022,30066.21774,29854.91457
5/6/2022,28879.62701,29905.08035
5/7/2022,30231.32964,29949.16054
5/8/2022,30264.44004,29987.17017
5/9/2022,30280.31398,30019.14387
5/10/2022,29931.91241,30045.13558
5/11/2022,30267.57571,30065.21825
5/12/2022,30281.64332,30079.48343
5/13/2022,30286.33376,30088.04082
5/14/2022,30211.20806,30091.01782
5/15/2022,30189.16177,30088.55891
5/16/2022,29675.08578,30080.82508
5/17/2022,30258.25935,30067.99321
5/18/2022,30214.12856,30050.25532
5/19/2022,30079.88782,30027.81785
5/20/2022,30157.34783,30000.90087
5/21/2022,30311.48284,29969.73726
5/22/2022,30283.88593,29934.57183
5/23/2022,30014.38082,29895.66043
5/24/2022,29810.66154,29853.26901
5/25/2022,29590.85869,29807.67267
5/26/2022,29957.22647,29759.15464
5/27/2022,30220.41542,29708.00531
5/28/2022,29688.75825,29654.52114
5/29/2022,30221.11301,29599.00366
5/30/2022,29746.91898,29541.75838
5/31/2022,30247.16568,29483.09371
6/1/2022,30188.36219,29423.31988
6/2/2022,30162.21142,29362.74786
6/3/2022,30137.88306,29301.68827
6/4/2022,30209.26843,29240.45028
6/5/2022,29728.32311,29179.34056
6/6/2022,29143.4949,29118.66216
6/7/2022,30241.58468,29058.71353
6/8/2022,30190.86617,28999.78741
6/9/2022,30173.46437,28942.16984
6/10/2022,29699.801,28886.13919
6/11/2022,28822.31317,28831.96515
6/12/2022,28124.99304,28779.90778
6/13/2022,29392.30573,28730.21668
6/14/2022,27967.74474,28683.13004
6/15/2022,28503.75274,28638.87382
6/16/2022,30326.00393,28597.66101
6/17/2022,30317.2781,28559.69081
6/18/2022,29059.39693,28525.14798
6/19/2022,28940.94269,28494.20217
6/20/2022,29234.45366,28467.00731
6/21/2022,29427.89305,28443.70106
6/22/2022,28054.87588,28424.40433
6/23/2022,28490.3339,28409.22081
6/24/2022,29616.41799,28398.23663
6/25/2022,27676.40841,28391.51998
6/26/2022,27925.37808,28389.1209
6/27/2022,29966.08076,28391.07103
6/28/2022,27736.74735,28397.38351
6/29/2022,28427.31461,28408.05285
6/30/2022,29952.50736,28423.05497
7/1/2022,29229.48595,28442.34719
7/2/2022,29383.85175,28465.86836
7/3/2022,28939.98821,28493.53904
7/4/2022,30098.3078,28525.2617
7/5/2022,28670.66763,28560.92103
7/6/2022,30165.35657,28600.38428
7/7/2022,29946.21185,28643.50167
7/8/2022,29000.86355,28690.10686
7/9/2022,29897.01825,28740.01747
7/10/2022,29175.2522,28793.03565
7/11/2022,29342.25688,28848.94869
7/12/2022,29696.566,28907.52973
7/13/2022,29336.78969,28968.53849
7/14/2022,30162.46265,29031.72199
7/15/2022,30083.27043,29096.81541
7/16/2022,26825.81264,29163.54292
7/17/2022,29528.49842,29231.61861
7/18/2022,28853.02355,29300.74735
7/19/2022,28577.38074,29370.62583
7/20/2022,30092.06529,29440.94346
7/21/2022,30218.65085,29511.38346
7/22/2022,30215.87292,29581.62385
7/23/2022,30176.7469,29651.33851
7/24/2022,30116.41063,29720.19827
7/25/2022,30171.95861,29787.87195
7/26/2022,30166.64281,29854.02748
7/27/2022,30136.28507,29918.33298
7/28/2022,30029.87242,29980.45786
7/29/2022,29935.99799,30040.0739
7/30/2022,30063.55027,30096.85633
7/31/2022,27740.38245,30150.48494
8/1/2022,23863.14382,30200.64508
8/2/2022,27610.82824,30247.02875
8/3/2022,27631.73691,30289.33562
8/4/2022,27686.65124,30327.274
8/5/2022,28976.92306,30360.56184
8/6/2022,26960.86156,30388.92765
8/7/2022,20285.19216,30412.11143
8/8/2022,20140.36627,30429.86552
8/9/2022,26724.97768,30441.95544
8/10/2022,29832.65412,30448.16071
8/11/2022,29927.64031,30448.27552
8/12/2022,30242.35627,30442.1095
8/13/2022,30220.82385,30429.48835
8/14/2022,30239.65921,30410.2544
8/15/2022,30229.39259,30384.26722
8/16/2022,30212.76989,30351.40402
8/17/2022,30022.2539,30311.56018
8/18/2022,29952.42838,30264.64953
8/19/2022,29637.58745,30210.60473
8/20/2022,29913.97117,30149.37748
8/21/2022,29943.23942,30080.93872
8/22/2022,29931.08491,30005.27879
8/23/2022,30085.08799,29922.40745
8/24/2022,30055.81757,29832.3539
8/25/2022,30097.55041,29735.16672
8/26/2022,30009.35975,29630.91377
8/27/2022,27174.81999,29519.68198
8/28/2022,24521.64468,29401.57709
8/29/2022,29192.5682,29276.7234
8/30/2022,29926.1052,29145.26336
8/31/2022,30041.78643,29007.35716
9/1/2022,29896.96825,28863.18224
9/2/2022,30095.75673,28712.93279
9/3/2022,30158.15846,28556.81912
9/4/2022,30130.22676,28395.06707
9/5/2022,29803.86415,28227.91726
9/6/2022,30141.68216,28055.62443
9/7/2022,29786.16922,27878.45659
9/8/2022,29807.45983,27696.69428
9/9/2022,29976.29636,27510.62963
9/10/2022,30167.33421,27320.56554
9/11/2022,30196.45892,27126.81471
9/12/2022,30189.45985,26929.69871
9/13/2022,30129.52266,26729.54697
9/14/2022,30206.09489,26526.69583
9/15/2022,30236.99763,26321.48746
9/16/2022,30074.86622,26114.26886
9/17/2022,30232.7811,25905.39079
9/18/2022,30252.70342,25695.20672
9/19/2022,30260.9943,25484.07176
9/20/2022,30233.57451,25272.34162
9/21/2022,30280.3122,25060.3715
9/22/2022,30279.37318,24848.51505
9/23/2022,30279.72706,24637.12335
9/24/2022,19511.28946,24426.54384
9/25/2022,25941.01391,24217.1193
9/26/2022,20182.09096,24009.18687
9/27/2022,19839.01337,23803.07704
9/28/2022,20397.49294,23599.11274
9/29/2022,29575.51922,23397.60839
9/30/2022,26688.9554,23198.869
10/1/2022,19468.40442,23003.18935
10/2/2022,19546.4716,22810.85312
10/3/2022,19617.20099,22622.13218
10/4/2022,19614.73531,22437.28579
10/5/2022,19597.48047,22256.55997
